run_index,profile_name,item_index,product_id,hybrid_score,hybrid_rank,in_hybrid_top7,value_price_pct,shap_price_pct,value_quality_pct,shap_quality_pct,value_popularity_pct,shap_popularity_pct,value_rating_pct,shap_rating_pct,value_recency_pct,shap_recency_pct,value_discount_pct,shap_discount_pct,value_rating_count,shap_rating_count,value_inferred_reviewer_count,shap_inferred_reviewer_count,value_review_text_richness,shap_review_text_richness,shap_base_value,shap_sum_plus_base
24,budget,140,B00TI8E7BI,0.2765604974114281,175,False,0.2299999999999999,-0.0348539446438754,0.79,0.0564389286325947,0.3325,-0.0021055088694387956,0.87,0.013272764232685455,0.045,-0.0038124304019012587,0.0,-0.0074494644233402876,2518.0,-0.006232776355666359,8.0,7.713309556881039e-05,2000.0,-0.010944849408876911,0.26994218349583693,0.27433203535358686
35,quality_seeker,266,B082T6GVLJ,0.2949898412451482,142,False,0.51125,-0.01970573864587285,0.4725,0.002337964862826976,0.59,0.002106492476236229,0.7425,0.006926781330299574,0.6175,0.0008621902476775825,53.0,0.0009459934668990828,6547.0,0.0011749993929881714,8.0,6.969641802191463e-05,759.0,0.03416626018945824,0.26994218349583693,0.2988268232343718
29,budget,179,B09N3ZNHTY,0.28109851004815234,143,False,0.345,-0.043365155750510274,0.8725,0.08355691799989998,0.9775,0.005056436984522732,0.18875,-0.014690765660019877,0.0375,-0.003164455083995595,67.0,0.007766102380274211,136954.0,0.0024432578583320035,3.0,-0.0006560579903402591,2000.0,-0.019306665502572398,0.26994218349583693,0.2875817987314275
13,loyal,204,B08X77LM8C,0.18843872921241211,324,False,0.9625,0.09393085258409938,0.055,-0.1272548809760764,0.165,-0.008932092748457585,0.14,-0.010164374369620052,0.99125,0.0016584574613039927,90.0,0.001561579614198408,594.0,-0.003971936775518645,8.0,4.528659766941103e-05,1483.0,-0.0023445983027362725,0.26994218349583693,0.21447047658069918
0,quality_seeker,97,B08CNLYKW5,0.14364829479439584,348,False,0.32125,-0.03913128366611121,0.1825,-0.09118914768561096,0.6525,0.0029196366692320597,0.1325,-0.005566361140261238,0.5875,-0.001106341631120301,50.0,-0.0025980994866978357,7988.0,0.0024456339367236886,8.0,4.908471294789667e-05,1207.0,0.009453893595758467,0.26994218349583693,0.1452191988006975
26,quality_seeker,157,B0B8CXTTG3,0.3063560871587629,122,False,0.0574999999999999,-0.07859575297053062,0.96375,0.12761469821841387,0.93375,0.005454038891530082,0.5825,-0.0021181781009039203,0.3175,-0.005113813612557102,35.0,-0.003513265234514966,32840.0,0.0024934219508037964,8.0,0.0001161743431645959,2000.0,-0.012573124979235397,0.26994218349583693,0.3037063820020073
11,explorer,315,B0B5GJRTHB,0.24901763283896686,222,False,0.50875,-0.020494118169667962,0.59,0.013897716726055227,0.2975,-0.0013018995342542151,0.57875,-0.00043964619373557687,0.6625,0.00126881489201464,56.0,0.0019409575117619582,2284.0,-0.003154432540348649,8.0,6.963419867121631e-05,2000.0,-0.013961924750217873,0.26994218349583693,0.2477672856361157
9,quality_seeker,162,B09F6S8BT6,0.3008641473351744,129,False,0.06,-0.08669903548379418,0.895,0.09740250600014069,0.825,0.0040561882196003774,0.7475,0.007890051016200017,0.41,0.001706571347164127,41.0,0.001965058073942384,16299.0,0.0036858564319640565,8.0,0.00029856189445856627,1860.0,0.004527850689308775,0.26994218349583693,0.3047757916848218
2,budget,247,B09FFK1PQG,0.25359146942104666,212,False,0.51,-0.015065919830369886,0.3775,-0.022699678291455774,0.255,-0.002491504984382444,0.855,0.012505185248482107,0.54875,0.0003968582360296467,49.0,0.0003339870960948719,1680.0,-0.002692004149654471,8.0,6.568562580916513e-05,1147.0,0.012449940293261217,0.26994218349583693,0.25274473273965137
49,balanced,226,B09Y5FZK9N,0.1026037463204719,371,False,0.5225,-0.01597702517960601,0.115,-0.10965792054324772,0.1875,-0.0037577774224827384,0.1025,-0.00497349215007812,0.50625,0.00014327824288623144,48.0,-0.0018322246122281056,976.0,-0.0025685476597152555,8.0,6.972342368518554e-05,2000.0,-0.01965144423216527,0.26994218349583693,0.11173675336288516
19,explorer,210,B09RZS1NQT,0.20306544480954647,305,False,0.89625,0.050281429450326806,0.17,-0.08550135123087273,0.1475,-0.006741122165956356,0.28875,-0.008864606043553368,0.955,0.0036398634544189973,80.0,0.0058940661782764915,576.0,-0.011322594860627965,8.0,3.221737854219333e-05,2000.0,-0.01714632185312132,0.26994218349583693,0.2002137638032697
15,explorer,96,B09MKP344P,0.17128071892755045,340,False,0.09875,-0.05877633781351484,0.2825,-0.0486318827884933,0.5875,-0.0011378508537843804,0.43125,-0.003191457936954468,0.32,-0.006387299575948782,35.0,-0.004473436127097837,6662.0,0.0018785374383185555,8.0,3.405098421917967e-05,959.0,0.011444879059592782,0.26994218349583693,0.16070138588217384
48,balanced,398,B00P93X0VO,0.3590118561335653,51,False,0.96,0.09094989157453578,0.63,0.016916079207082137,0.6725,0.005510757222583666,0.61375,0.0031275496712667964,0.0775,-0.0006994104845338317,5.0,-0.0006258086318291502,8938.0,0.01447243759788582,8.0,4.08120065103881e-05,1461.0,0.002163392096213876,0.26994218349583693,0.4017978837555524
29,quality_seeker,153,B0949SBKMP,0.6826610010897012,10,False,0.29125,-0.01373524226967319,0.8425,0.08212816376901019,0.8975,0.004876201378075141,0.27875,-0.00691776454990615,0.88375,0.008980056207654616,74.0,0.01544521308403716,26880.0,0.0009164737128101492,8.0,4.805898537488176e-05,2000.0,-0.016038719072777236,0.26994218349583693,0.3456446247404425
