run_index,profile_name,item_index,product_id,feature_perturbed,delta_feature,base_rank,perturbed_rank,rank_shift_positive_is_improvement,base_score,perturbed_score,score_delta
0,budget,256,B0B3N8VG24,price_pct,0.1,11,11,0,0.7857445384386801,0.7702150771055414,-0.015529461333138705
0,budget,296,B00VA7YYUO,price_pct,0.1,5,6,-1,0.8229262515757056,0.8086237690279663,-0.014302482547739359
0,budget,324,B09Z6WH2N1,price_pct,0.1,13,13,0,0.7793098783730283,0.7642029835168527,-0.015106894856175668
0,budget,330,B0926V9CTV,price_pct,0.1,9,9,0,0.8038610188509338,0.7887410037194396,-0.015120015131494191
0,budget,337,B00SH18114,price_pct,0.1,6,5,1,0.8224890216894578,0.812285624779278,-0.010203396910179796
0,budget,350,B00S2SEV7K,price_pct,0.1,7,7,0,0.8219466483158868,0.8071632043949026,-0.014783443920984185
0,budget,360,B07DKZCZ89,price_pct,0.1,1,2,-1,0.9469996110555928,0.93420920084084,-0.012790410214752801
0,budget,381,B07N8RQ6W7,price_pct,0.1,3,3,0,0.8402394002743403,0.8281644493109265,-0.012074950963413822
0,budget,389,B07H3WDC4X,price_pct,0.1,4,4,0,0.8290666843049879,0.82483150205735,-0.004235182247637859
0,budget,394,B07KSMBL2H,price_pct,0.1,2,1,1,0.9434086781587767,0.9434086781601605,1.3837819778927951e-12
0,budget,256,B0B3N8VG24,quality_pct,0.1,11,11,0,0.7857445384386801,0.7949421293379839,0.009197590899303831
0,budget,296,B00VA7YYUO,quality_pct,0.1,5,4,1,0.8229262515757056,0.8359306887622504,0.01300443718654476
0,budget,324,B09Z6WH2N1,quality_pct,0.1,13,14,-1,0.7793098783730283,0.7856931682566395,0.006383289883611143
0,budget,330,B0926V9CTV,quality_pct,0.1,9,9,0,0.8038610188509338,0.8118930275959793,0.008032008745045505
0,budget,337,B00SH18114,quality_pct,0.1,6,6,0,0.8224890216894578,0.8307468174237254,0.008257795734267548
0,budget,350,B00S2SEV7K,quality_pct,0.1,7,7,0,0.8219466483158868,0.8284590305650956,0.0065123822492088035
0,budget,360,B07DKZCZ89,quality_pct,0.1,1,1,0,0.9469996110555928,0.9529023498188561,0.005902738763263304
0,budget,381,B07N8RQ6W7,quality_pct,0.1,3,3,0,0.8402394002743403,0.8512027476987298,0.010963347424389536
0,budget,389,B07H3WDC4X,quality_pct,0.1,4,5,-1,0.8290666843049879,0.8327975424138897,0.0037308581089018356
0,budget,394,B07KSMBL2H,quality_pct,0.1,2,2,0,0.9434086781587767,0.9434086781583804,-3.963496197911809e-13
0,budget,256,B0B3N8VG24,popularity_pct,0.1,11,13,-2,0.7857445384386801,0.7893514357355227,0.003606897296842604
0,budget,296,B00VA7YYUO,popularity_pct,0.1,5,5,0,0.8229262515757056,0.8323424589157922,0.009416207340086524
0,budget,324,B09Z6WH2N1,popularity_pct,0.1,13,11,2,0.7793098783730283,0.7910370745545536,0.01172719618152529
0,budget,330,B0926V9CTV,popularity_pct,0.1,9,9,0,0.8038610188509338,0.8168552710102199,0.01299425215928618
0,budget,337,B00SH18114,popularity_pct,0.1,6,4,2,0.8224890216894578,0.8384222814441461,0.01593325975468829
0,budget,350,B00S2SEV7K,popularity_pct,0.1,7,7,0,0.8219466483158868,0.8314100322174579,0.009463383901571087
0,budget,360,B07DKZCZ89,popularity_pct,0.1,1,1,0,0.9469996110555928,0.9580585728984847,0.011058961842891901
0,budget,381,B07N8RQ6W7,popularity_pct,0.1,3,3,0,0.8402394002743403,0.8428772101432238,0.0026378098688835117
0,budget,389,B07H3WDC4X,popularity_pct,0.1,4,6,-2,0.8290666843049879,0.8316292395299545,0.002562555224966623
0,budget,394,B07KSMBL2H,popularity_pct,0.1,2,2,0,0.9434086781587767,0.9419497098891207,-0.0014589682696559692
0,budget,256,B0B3N8VG24,rating_pct,0.1,11,11,0,0.7857445384386801,0.7870463282837781,0.0013017898450979892
0,budget,296,B00VA7YYUO,rating_pct,0.1,5,7,-2,0.8229262515757056,0.8165230480607039,-0.006403203515001787
0,budget,324,B09Z6WH2N1,rating_pct,0.1,13,14,-1,0.7793098783730283,0.7754169131041572,-0.0038929652688711736
0,budget,330,B0926V9CTV,rating_pct,0.1,9,9,0,0.8038610188509338,0.7971964124278121,-0.006664606423121611
0,budget,337,B00SH18114,rating_pct,0.1,6,8,-2,0.8224890216894578,0.8060943672085221,-0.01639465448093569
0,budget,350,B00S2SEV7K,rating_pct,0.1,7,5,2,0.8219466483158868,0.8233830901239543,0.0014364418080674568
0,budget,360,B07DKZCZ89,rating_pct,0.1,1,1,0,0.9469996110555928,0.9500321070372895,0.003032495981696637
0,budget,381,B07N8RQ6W7,rating_pct,0.1,3,3,0,0.8402394002743403,0.8429717343642038,0.0027323340898635085
0,budget,389,B07H3WDC4X,rating_pct,0.1,4,4,0,0.8290666843049879,0.8343985016122507,0.005331817307262843
0,budget,394,B07KSMBL2H,rating_pct,0.1,2,2,0,0.9434086781587767,0.9434086781606253,1.848632358303348e-12
0,quality_seeker,152,B08C4Z69LN,price_pct,0.1,2,2,0,0.7433304126054566,0.75242445981959,0.009094047214133427
0,quality_seeker,178,B09RKFBCV7,price_pct,0.1,1,1,0,0.8262478660908212,0.8324546741645109,0.006206808073689674
0,quality_seeker,182,B0BF54LXW6,price_pct,0.1,7,7,0,0.6462394491845203,0.6521794857526784,0.0059400365681581135
0,quality_seeker,183,B074CWD7MS,price_pct,0.1,3,3,0,0.7003586896264417,0.7090845792076994,0.00872588958125775
0,quality_seeker,364,B01MF8MB65,price_pct,0.1,6,6,0,0.6622319993999755,0.663600955877834,0.0013689564778585073
0,quality_seeker,373,B0BDRVFDKP,price_pct,0.1,5,5,0,0.6780025566543326,0.6883628985452749,0.01036034189094226
0,quality_seeker,396,B07TR5HSR9,price_pct,0.1,4,4,0,0.6857707760041105,0.6931265382351961,0.007355762231085583
0,quality_seeker,152,B08C4Z69LN,quality_pct,0.1,2,2,0,0.7433304126054566,0.7391170620830623,-0.004213350522394355
0,quality_seeker,178,B09RKFBCV7,quality_pct,0.1,1,1,0,0.8262478660908212,0.8237889832520384,-0.0024588828387828165
0,quality_seeker,182,B0BF54LXW6,quality_pct,0.1,7,7,0,0.6462394491845203,0.6478299144445592,0.0015904652600389202
0,quality_seeker,183,B074CWD7MS,quality_pct,0.1,3,3,0,0.7003586896264417,0.6970560793952748,-0.003302610231166847
0,quality_seeker,364,B01MF8MB65,quality_pct,0.1,6,6,0,0.6622319993999755,0.6593322867481612,-0.0028997126518142124
0,quality_seeker,373,B0BDRVFDKP,quality_pct,0.1,5,5,0,0.6780025566543326,0.681203448226761,0.0032008915724284215
0,quality_seeker,396,B07TR5HSR9,quality_pct,0.1,4,4,0,0.6857707760041105,0.6832493427260957,-0.0025214332780147952
0,quality_seeker,152,B08C4Z69LN,popularity_pct,0.1,2,2,0,0.7433304126054566,0.7447325480747875,0.0014021354693308785
0,quality_seeker,178,B09RKFBCV7,popularity_pct,0.1,1,1,0,0.8262478660908212,0.8262270206039319,-2.0845486889298215e-05
0,quality_seeker,182,B0BF54LXW6,popularity_pct,0.1,7,7,0,0.6462394491845203,0.6493472789419474,0.003107829757427183
0,quality_seeker,183,B074CWD7MS,popularity_pct,0.1,3,3,0,0.7003586896264417,0.7041087374726807,0.003750047846239002
0,quality_seeker,364,B01MF8MB65,popularity_pct,0.1,6,6,0,0.6622319993999755,0.6566770897583454,-0.005554909641630079
0,quality_seeker,373,B0BDRVFDKP,popularity_pct,0.1,5,5,0,0.6780025566543326,0.6764269617951946,-0.001575594859138052
0,quality_seeker,396,B07TR5HSR9,popularity_pct,0.1,4,4,0,0.6857707760041105,0.6883318241289048,0.0025610481247942962
0,quality_seeker,152,B08C4Z69LN,rating_pct,0.1,2,2,0,0.7433304126054566,0.7304853067265986,-0.01284510587885801
