diagnostic_status,lambda_q,lambda_t,profile,metric,mean,sample_sd,ci95_lo,ci95_hi,n_catalog_resamples,bootstrap_reps,bootstrap_seed
evaluation_only_posthoc_oracle_not_for_tuning,0.3,0.7,explorer,f1_at_7,0.3857142857142857,0.15609243408957504,0.34285714285714275,0.42857142857142855,50,20000,12701314710388950875
evaluation_only_posthoc_oracle_not_for_tuning,0.3,0.7,explorer,ndcg_at_7,0.42324656918422143,0.18427132937266816,0.37255356922145905,0.47267456850256256,50,20000,18133733072859386500
evaluation_only_posthoc_oracle_not_for_tuning,0.3,0.7,loyal,f1_at_7,0.29142857142857137,0.14705211048695363,0.25142857142857145,0.3314285714285714,50,20000,13672515014637089325
evaluation_only_posthoc_oracle_not_for_tuning,0.3,0.7,loyal,ndcg_at_7,0.3163875007502883,0.16877807336587075,0.2708737903591624,0.36301013973862795,50,20000,5519739344059553738
evaluation_only_posthoc_oracle_not_for_tuning,0.3,0.7,balanced,f1_at_7,0.5714285714285714,0.12244897959183675,0.5371428571428571,0.6057142857142856,50,20000,10532578202865038296
evaluation_only_posthoc_oracle_not_for_tuning,0.3,0.7,balanced,ndcg_at_7,0.6153622255099307,0.13460340421004738,0.5779940005809551,0.651866995678951,50,20000,1047978413935392696
evaluation_only_posthoc_oracle_not_for_tuning,0.3,0.7,all_profiles_mean_within_run,f1_at_7,0.3417142857142857,0.06348480684154638,0.324,0.3594285714285714,50,20000,16868280825006146041
evaluation_only_posthoc_oracle_not_for_tuning,0.3,0.7,all_profiles_mean_within_run,ndcg_at_7,0.380268232232213,0.0776654236791106,0.3592831245766415,0.4018807893171864,50,20000,11149532531239594200
evaluation_only_posthoc_oracle_not_for_tuning,0.4,0.6,budget,f1_at_7,0.32285714285714284,0.13166033564317806,0.2885714285714285,0.35999999999999993,50,20000,3586000659102164908
evaluation_only_posthoc_oracle_not_for_tuning,0.4,0.6,budget,ndcg_at_7,0.36002868797423354,0.17175688426933708,0.3134565612239992,0.4082288500200246,50,20000,6103202772507548739
