metric,arm_id,candidate,gt_bonus,reward_model,role,method,mean,sample_sd,ci95_lo,ci95_hi,n_catalogs
ndcg_at_7,candidate=full_catalog__bonus=0.00__reward=implemented_r0,full_catalog,0.0,implemented_r0,mandatory_factorial,random,0.02199944129908902,0.041310998965913184,0.012615029903607298,0.034969193459578364,50
ndcg_at_7,candidate=full_catalog__bonus=0.00__reward=implemented_r0,full_catalog,0.0,implemented_r0,mandatory_factorial,rl_only,0.02541291760276188,0.027781268578371557,0.018167814106983104,0.03322068450158159,50
ndcg_at_7,candidate=full_catalog__bonus=0.00__reward=implemented_r0,full_catalog,0.0,implemented_r0,mandatory_factorial,topsis_only,0.27385693831131375,0.07150961571664347,0.2540031245400052,0.29335954637692085,50
f1_at_7,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,full_catalog,0.0,inclusive_range_fix,mandatory_factorial,hybrid,0.2577142857142857,0.06817426283028767,0.2394285714285714,0.27714285714285714,50
f1_at_7,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,full_catalog,0.0,inclusive_range_fix,mandatory_factorial,popularity,0.15314285714285714,0.07134338944143963,0.1337142857142857,0.17257142857142851,50
f1_at_7,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,full_catalog,0.0,inclusive_range_fix,mandatory_factorial,random,0.02,0.030132291959660003,0.012571428571428572,0.02914285714285714,50
f1_at_7,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,full_catalog,0.0,inclusive_range_fix,mandatory_factorial,rl_only,0.08114285714285713,0.04594692989214788,0.06914285714285713,0.09428571428571426,50
f1_at_7,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,full_catalog,0.0,inclusive_range_fix,mandatory_factorial,topsis_only,0.2594285714285714,0.06292601580604658,0.24171428571428574,0.276,50
ndcg_at_7,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,full_catalog,0.0,inclusive_range_fix,mandatory_factorial,hybrid,0.24925286702817048,0.0745718254640837,0.22948664461893717,0.2707353927358512,50
ndcg_at_7,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,full_catalog,0.0,inclusive_range_fix,mandatory_factorial,popularity,0.1836410948944744,0.08847616427656166,0.15900911218512725,0.20794126760045542,50
ndcg_at_7,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,full_catalog,0.0,inclusive_range_fix,mandatory_factorial,random,0.02199944129908902,0.041310998965913184,0.012612364992925193,0.035183846568834935,50
ndcg_at_7,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,full_catalog,0.0,inclusive_range_fix,mandatory_factorial,rl_only,0.09011504714085992,0.05584290740926559,0.07528207872198975,0.10622473197341283,50
