condition_class,scenario,reward_model,row_type,name,metric,checkpoint,mean,sample_sd,ci95_lo,ci95_hi,n_catalog_resamples,wins,ties,losses,raw_catalog_resample_vector_json
future_blind,sudden,component_continuous_fix,method,hybrid,final_f1,,0.33599999999999997,0.05083558359817229,0.32228571428571423,0.3497142857142857,50,,,,[]
future_blind,sudden,component_continuous_fix,method,hybrid,checkpoint_normalized_post_change_auc,,0.32716190476190476,0.05209809306344013,0.31262857142857137,0.34114333333333335,50,,,,[]
future_blind,sudden,component_continuous_fix,method,rl_only,final_f1,,0.084,0.04486455157848112,0.07200000000000001,0.09657142857142854,50,,,,[]
future_blind,sudden,component_continuous_fix,method,rl_only,checkpoint_normalized_post_change_auc,,0.07028571428571428,0.033425113130580775,0.06146666666666666,0.07958142857142853,50,,,,[]
future_blind,sudden,component_continuous_fix,paired_difference,paired_hybrid_minus_rl,final_f1,,0.252,0.04784049577747812,0.23885714285714282,0.2651428571428572,50,50,0,0,"[0.2571428571428571,0.22857142857142854,0.2571428571428571,0.19999999999999998,0.17142857142857143,0.22857142857142854,0.3714285714285714,0.2857142857142857,0.2857142857142857,0.19999999999999998,0.2571428571428571,0.14285714285714285,0.2857142857142857,0.19999999999999998,0.19999999999999998,0.2285714285714286,0.2571428571428572,0.2571428571428572,0.17142857142857143,0.2571428571428571,0.34285714285714286,0.2857142857142857,0.17142857142857137,0.19999999999999998,0.2857142857142857,0.3142857142857142,0.3142857142857143,0.2571428571428571,0.3142857142857143,0.28571428571428575,0.2571428571428571,0.19999999999999998,0.28571428571428564,0.2571428571428571,0.2571428571428571,0.2285714285714286,0.2857142857142857,0.2571428571428571,0.2857142857142857,0.2285714285714286,0.2857142857142857,0.2571428571428571,0.19999999999999996,0.2571428571428571,0.22857142857142856,0.34285714285714286,0.22857142857142856,0.2,0.2571428571428571,0.2857142857142857]"
future_blind,sudden,component_continuous_fix,paired_difference,paired_hybrid_minus_rl,checkpoint_normalized_post_change_auc,,0.2568761904761904,0.053219036210453916,0.24241904761904765,0.2715047619047619,50,50,0,0,"[0.3047619047619048,0.17999999999999994,0.2828571428571429,0.2542857142857142,0.17714285714285713,0.23428571428571426,0.2809523809523809,0.2571428571428571,0.3114285714285714,0.2028571428571428,0.24666666666666665,0.19333333333333333,0.2704761904761904,0.24761904761904757,0.19904761904761897,0.30095238095238097,0.29809523809523814,0.26761904761904765,0.1761904761904762,0.34,0.27523809523809517,0.23523809523809525,0.15619047619047624,0.20190476190476192,0.24571428571428572,0.32380952380952377,0.33047619047619037,0.19904761904761903,0.34285714285714286,0.2742857142857143,0.2733333333333333,0.2666666666666667,0.25809523809523804,0.25999999999999995,0.3019047619047619,0.2571428571428571,0.34952380952380946,0.3533333333333333,0.24000000000000005,0.24666666666666667,0.28476190476190477,0.2961904761904761,0.22190476190476188,0.34285714285714286,0.2171428571428571,0.2799999999999999,0.2047619047619047,0.1352380952380952,0.1838095238095238,0.25999999999999995]"
future_blind,sudden,historical_funnel_coefficients_on_may_h,method,hybrid,final_f1,,0.33771428571428563,0.07407685372790707,0.31714285714285717,0.35771428571428565,50,,,,[]
future_blind,sudden,historical_funnel_coefficients_on_may_h,method,hybrid,checkpoint_normalized_post_change_auc,,0.31712380952380953,0.05841584652296169,0.3009904761904762,0.3331428571428571,50,,,,[]
future_blind,sudden,historical_funnel_coefficients_on_may_h,method,rl_only,final_f1,,0.092,0.05074702265359924,0.07828571428571428,0.10628571428571428,50,,,,[]
future_blind,sudden,historical_funnel_coefficients_on_may_h,method,rl_only,checkpoint_normalized_post_change_auc,,0.07763809523809524,0.03900717998911159,0.06716190476190477,0.08828571428571427,50,,,,[]
future_blind,sudden,historical_funnel_coefficients_on_may_h,paired_difference,paired_hybrid_minus_rl,final_f1,,0.24571428571428566,0.06108828386569699,0.22914285714285712,0.2622857142857143,50,50,0,0,"[0.34285714285714286,0.2571428571428571,0.28571428571428564,0.2571428571428572,0.19999999999999998,0.14285714285714285,0.22857142857142848,0.2285714285714286,0.2571428571428571,0.2,0.22857142857142856,0.22857142857142856,0.2571428571428571,0.2857142857142857,0.08571428571428572,0.2857142857142857,0.2571428571428572,0.2857142857142857,0.17142857142857143,0.19999999999999998,0.19999999999999998,0.28571428571428564,0.17142857142857143,0.19999999999999998,0.22857142857142856,0.3714285714285714,0.2,0.19999999999999998,0.2571428571428572,0.37142857142857144,0.2285714285714285,0.37142857142857144,0.17142857142857143,0.28571428571428564,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.2571428571428571,0.22857142857142856,0.2,0.28571428571428564,0.2857142857142857,0.22857142857142862,0.19999999999999998,0.2285714285714286,0.3714285714285714,0.22857142857142856,0.17142857142857143,0.22857142857142856,0.2]"
future_blind,sudden,historical_funnel_coefficients_on_may_h,paired_difference,paired_hybrid_minus_rl,checkpoint_normalized_post_change_auc,,0.23948571428571427,0.05036153617568956,0.22565714285714283,0.25316190476190475,50,50,0,0,"[0.3219047619047618,0.23714285714285713,0.29714285714285715,0.24285714285714285,0.16095238095238093,0.2,0.23809523809523805,0.24666666666666667,0.2799999999999999,0.22285714285714286,0.25714285714285706,0.24285714285714283,0.25047619047619046,0.2809523809523809,0.16666666666666666,0.2752380952380952,0.2590476190476191,0.29428571428571426,0.13999999999999996,0.199047619047619,0.17809523809523808,0.22952380952380946,0.13999999999999999,0.21523809523809523,0.22190476190476185,0.3276190476190476,0.20190476190476192,0.2495238095238095,0.23714285714285716,0.319047619047619,0.20095238095238094,0.2866666666666667,0.159047619047619,0.20952380952380947,0.29999999999999993,0.2866666666666667,0.32476190476190475,0.2838095238095238,0.21047619047619048,0.19904761904761908,0.2342857142857142,0.30761904761904757,0.2266666666666667,0.21999999999999997,0.28857142857142853,0.3152380952380952,0.22476190476190472,0.18476190476190474,0.19809523809523807,0.18000000000000005]"
future_blind,sudden,inclusive_range_fix,method,hybrid,final_f1,,0.30114285714285716,0.06712021204877648,0.28285714285714275,0.31942857142857134,50,,,,[]
future_blind,sudden,inclusive_range_fix,method,hybrid,checkpoint_normalized_post_change_auc,,0.28548571428571423,0.057678590057573906,0.2690666666666667,0.3008761904761904,50,,,,[]
future_blind,sudden,inclusive_range_fix,method,rl_only,final_f1,,0.064,0.04302590678564714,0.05257142857142856,0.076,50,,,,[]
future_blind,sudden,inclusive_range_fix,method,rl_only,checkpoint_normalized_post_change_auc,,0.05085714285714285,0.030465863167614786,0.04281904761904762,0.05923809523809524,50,,,,[]
future_blind,sudden,inclusive_range_fix,paired_difference,paired_hybrid_minus_rl,final_f1,,0.23714285714285707,0.07051898997212651,0.21828571428571425,0.25657142857142856,50,50,0,0,"[0.28571428571428564,0.2571428571428572,0.19999999999999998,0.22857142857142856,0.17142857142857137,0.22857142857142856,0.4,0.2857142857142857,0.2571428571428571,0.19999999999999998,0.2571428571428571,0.19999999999999998,0.17142857142857143,0.2285714285714286,0.14285714285714285,0.2571428571428571,0.2857142857142857,0.22857142857142856,0.14285714285714285,0.22857142857142856,0.37142857142857144,0.2857142857142857,0.1714285714285714,0.28571428571428564,0.2857142857142857,0.3714285714285714,0.19999999999999998,0.1714285714285714,0.34285714285714286,0.3142857142857142,0.2,0.17142857142857143,0.1428571428571428,0.2857142857142857,0.3142857142857142,0.2857142857142857,0.37142857142857144,0.2857142857142857,0.2571428571428571,0.19999999999999998,0.14285714285714285,0.3142857142857143,0.08571428571428572,0.17142857142857143,0.17142857142857137,0.19999999999999998,0.19999999999999998,0.2571428571428571,0.14285714285714282,0.19999999999999996]"
future_blind,sudden,inclusive_range_fix,paired_difference,paired_hybrid_minus_rl,checkpoint_normalized_post_change_auc,,0.23462857142857138,0.055437714440004074,0.21950428571428565,0.24996190476190472,50,50,0,0,"[0.30857142857142855,0.19047619047619047,0.2333333333333333,0.21428571428571425,0.19904761904761903,0.26476190476190475,0.35619047619047617,0.2904761904761904,0.22285714285714278,0.21714285714285714,0.24761904761904766,0.18000000000000002,0.18285714285714283,0.23142857142857137,0.2247619047619047,0.2704761904761905,0.21904761904761902,0.21904761904761905,0.13714285714285712,0.25047619047619046,0.3142857142857143,0.26476190476190475,0.10095238095238096,0.26095238095238094,0.24476190476190474,0.3361904761904762,0.2733333333333333,0.22190476190476194,0.2847619047619047,0.31238095238095237,0.1961904761904762,0.2419047619047619,0.15523809523809518,0.20666666666666667,0.2476190476190476,0.22190476190476185,0.35999999999999993,0.2276190476190476,0.23714285714285713,0.2114285714285714,0.20095238095238088,0.29238095238095235,0.15999999999999998,0.18476190476190474,0.2352380952380952,0.26476190476190475,0.18095238095238095,0.2761904761904762,0.11238095238095237,0.2438095238095238]"
future_blind,gradual,component_continuous_fix,method,hybrid,final_f1,,0.2885714285714286,0.0705263213175942,0.2638095238095238,0.3133333333333334,30,,,,[]
future_blind,gradual,component_continuous_fix,method,hybrid,checkpoint_normalized_post_change_auc,,0.2653571428571428,0.03902341904987327,0.251547619047619,0.2794047619047619,30,,,,[]
future_blind,gradual,component_continuous_fix,method,rl_only,final_f1,,0.05904761904761903,0.035932012847420376,0.046666666666666655,0.07238095238095235,30,,,,[]
future_blind,gradual,component_continuous_fix,method,rl_only,checkpoint_normalized_post_change_auc,,0.051190476190476196,0.022535712008722713,0.04357142857142858,0.05952380952380953,30,,,,[]
future_blind,gradual,component_continuous_fix,paired_difference,paired_hybrid_minus_rl,final_f1,,0.2295238095238095,0.06814453874610599,0.2057142857142857,0.2533333333333333,30,30,0,0,"[0.1142857142857143,0.3142857142857143,0.2857142857142857,0.17142857142857143,0.22857142857142854,0.28571428571428564,0.25714285714285706,0.22857142857142856,0.3142857142857143,0.14285714285714282,0.2571428571428571,0.3142857142857143,0.34285714285714286,0.2571428571428571,0.14285714285714282,0.19999999999999998,0.14285714285714285,0.17142857142857143,0.19999999999999998,0.17142857142857143,0.14285714285714285,0.1428571428571428,0.22857142857142856,0.2571428571428571,0.19999999999999998,0.19999999999999998,0.3714285714285714,0.2857142857142857,0.2857142857142857,0.22857142857142854]"
future_blind,gradual,component_continuous_fix,paired_difference,paired_hybrid_minus_rl,checkpoint_normalized_post_change_auc,,0.21416666666666667,0.03417216590084902,0.2019047619047619,0.2263095238095238,30,30,0,0,"[0.2392857142857143,0.2714285714285714,0.18571428571428572,0.23928571428571427,0.2321428571428571,0.22142857142857142,0.21785714285714283,0.22857142857142848,0.19285714285714287,0.17857142857142858,0.2535714285714285,0.25357142857142856,0.25714285714285706,0.18928571428571428,0.1857142857142857,0.175,0.20714285714285713,0.20714285714285716,0.1607142857142857,0.20357142857142857,0.20357142857142857,0.15357142857142858,0.17857142857142855,0.18928571428571428,0.16428571428571428,0.27142857142857146,0.2607142857142857,0.22499999999999995,0.24999999999999997,0.2285714285714286]"
future_blind,gradual,historical_funnel_coefficients_on_may_h,method,hybrid,final_f1,,0.24285714285714285,0.052388415649834146,0.2247619047619048,0.26190476190476186,30,,,,[]
future_blind,gradual,historical_funnel_coefficients_on_may_h,method,hybrid,checkpoint_normalized_post_change_auc,,0.24702380952380945,0.036082868172543026,0.2341666666666667,0.25976190476190475,30,,,,[]
future_blind,gradual,historical_funnel_coefficients_on_may_h,method,rl_only,final_f1,,0.04476190476190475,0.032432104868874344,0.03333333333333333,0.056190476190476187,30,,,,[]
future_blind,gradual,historical_funnel_coefficients_on_may_h,method,rl_only,checkpoint_normalized_post_change_auc,,0.04499999999999999,0.01795784413787538,0.03892857142857143,0.05142857142857144,30,,,,[]
future_blind,gradual,historical_funnel_coefficients_on_may_h,paired_difference,paired_hybrid_minus_rl,final_f1,,0.19809523809523807,0.05561166921390036,0.17904761904761904,0.21809523809523806,30,30,0,0,"[0.17142857142857143,0.11428571428571428,0.19999999999999998,0.1142857142857143,0.14285714285714285,0.22857142857142854,0.2571428571428571,0.20000000000000004,0.19999999999999998,0.2571428571428571,0.22857142857142856,0.11428571428571427,0.3142857142857142,0.14285714285714288,0.22857142857142856,0.2571428571428571,0.1714285714285714,0.22857142857142856,0.17142857142857137,0.25714285714285706,0.19999999999999998,0.28571428571428564,0.19999999999999998,0.2,0.14285714285714285,0.25714285714285706,0.11428571428571427,0.1142857142857143,0.2285714285714285,0.19999999999999998]"
future_blind,gradual,historical_funnel_coefficients_on_may_h,paired_difference,paired_hybrid_minus_rl,checkpoint_normalized_post_change_auc,,0.2020238095238095,0.030488102531402016,0.1911904761904762,0.2127380952380952,30,30,0,0,"[0.17500000000000002,0.13571428571428573,0.15,0.17857142857142855,0.1964285714285714,0.25357142857142856,0.25714285714285706,0.18928571428571428,0.2107142857142857,0.225,0.1857142857142857,0.20357142857142857,0.23214285714285712,0.1607142857142857,0.22857142857142856,0.2178571428571429,0.18928571428571428,0.20714285714285707,0.19999999999999998,0.22142857142857145,0.20000000000000004,0.18214285714285713,0.2142857142857143,0.15714285714285714,0.2321428571428571,0.22499999999999998,0.24999999999999997,0.175,0.22142857142857142,0.1857142857142857]"
future_blind,gradual,inclusive_range_fix,method,hybrid,final_f1,,0.2533333333333333,0.07264320306753963,0.2276190476190476,0.279047619047619,30,,,,[]
future_blind,gradual,inclusive_range_fix,method,hybrid,checkpoint_normalized_post_change_auc,,0.25642857142857145,0.039273397083879724,0.24250000000000005,0.26999999999999996,30,,,,[]
future_blind,gradual,inclusive_range_fix,method,rl_only,final_f1,,0.046666666666666655,0.03046284601113769,0.03619047619047619,0.05714285714285714,30,,,,[]
future_blind,gradual,inclusive_range_fix,method,rl_only,checkpoint_normalized_post_change_auc,,0.05178571428571429,0.020219372195085728,0.044880952380952376,0.05904761904761906,30,,,,[]
future_blind,gradual,inclusive_range_fix,paired_difference,paired_hybrid_minus_rl,final_f1,,0.2066666666666666,0.0594051362154247,0.18571428571428575,0.2276428571428551,30,30,0,0,"[0.11428571428571428,0.2571428571428571,0.19999999999999998,0.22857142857142856,0.17142857142857143,0.2,0.14285714285714288,0.17142857142857143,0.3142857142857143,0.1714285714285714,0.14285714285714288,0.22857142857142856,0.17142857142857143,0.2285714285714285,0.14285714285714288,0.2857142857142857,0.22857142857142856,0.19999999999999998,0.19999999999999998,0.22857142857142854,0.22857142857142856,0.22857142857142856,0.17142857142857143,0.25714285714285706,0.11428571428571428,0.3142857142857143,0.34285714285714286,0.17142857142857143,0.22857142857142856,0.11428571428571428]"
future_blind,gradual,inclusive_range_fix,paired_difference,paired_hybrid_minus_rl,checkpoint_normalized_post_change_auc,,0.2046428571428571,0.0327615604814461,0.1933333333333333,0.21619047619047618,30,30,0,0,"[0.15000000000000002,0.20714285714285713,0.21428571428571427,0.23928571428571427,0.15357142857142858,0.2607142857142857,0.2285714285714286,0.21071428571428572,0.2357142857142857,0.1964285714285714,0.175,0.2142857142857143,0.18571428571428575,0.22142857142857142,0.15357142857142858,0.20714285714285713,0.16785714285714282,0.2071428571428571,0.175,0.14285714285714288,0.22499999999999998,0.19285714285714284,0.21071428571428566,0.24642857142857139,0.1892857142857143,0.23928571428571427,0.27142857142857146,0.22857142857142854,0.20357142857142857,0.18571428571428567]"
