anchor,metric,row_type,name,arm_id,mean,sample_sd,ci95_lo,ci95_hi,n_catalogs,wins,ties,losses,paired_t_stat,paired_t_p_two_sided,wilcoxon_stat,wilcoxon_p_two_sided,cohen_dz,cohen_dz_defined
literal_fix_sensitivity,f1_at_7,paired_difference,hybrid_minus_topsis,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,-0.0017142857142857116,0.08006869187501187,-0.023428571428571417,0.020571428571428577,50,20,8,22,-0.15139288841572215,0.8802873821363566,459.0,0.6741547460698125,-0.02141018760443509,True
literal_fix_sensitivity,ndcg_at_7,method,hybrid,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,0.24925286702817048,0.0745718254640837,0.22948664461893717,0.2707353927358512,50,,,,,,,,,
literal_fix_sensitivity,ndcg_at_7,method,rl_only,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,0.09011504714085992,0.05584290740926559,0.07528207872198975,0.10622473197341283,50,,,,,,,,,
literal_fix_sensitivity,ndcg_at_7,method,topsis_only,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,0.27385693831131375,0.07150961571664347,0.2541363133482889,0.29321056177225735,50,,,,,,,,,
literal_fix_sensitivity,ndcg_at_7,paired_difference,hybrid_minus_rl,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,0.15913781988731052,0.05624254757395672,0.143842038084598,0.17450193615168183,50,50,0,0,20.007527475100872,3.1717547848788962e-25,0.0,1.7763568394002505e-15,2.8294916704839976,True
literal_fix_sensitivity,ndcg_at_7,paired_difference,hybrid_minus_topsis,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,-0.024604071283143295,0.09434500865147735,-0.05058838531726788,0.001034770637954155,50,19,0,31,-1.8440515187588988,0.07122624597868481,469.0,0.10525460779046192,-0.26078826675435385,True
internal_component_repair,f1_at_7,method,hybrid,candidate=oracle_gt_hidden30__bonus=0.20__reward=component_continuous_fix,0.942857142857143,0.039149645088267106,0.932,0.9531428571428573,50,,,,,,,,,
internal_component_repair,f1_at_7,method,rl_only,candidate=oracle_gt_hidden30__bonus=0.20__reward=component_continuous_fix,0.5714285714285715,0.06190102403307388,0.5542857142857143,0.5885714285714285,50,,,,,,,,,
internal_component_repair,f1_at_7,method,topsis_only,candidate=oracle_gt_hidden30__bonus=0.20__reward=component_continuous_fix,0.2594285714285714,0.06292601580604658,0.24171428571428566,0.2765714285714285,50,,,,,,,,,
internal_component_repair,f1_at_7,paired_difference,hybrid_minus_rl,candidate=oracle_gt_hidden30__bonus=0.20__reward=component_continuous_fix,0.3714285714285714,0.06323238116257006,0.3542857142857143,0.3885714285714286,50,50,0,0,41.5356272774751,7.407254693445131e-40,0.0,7.37941151476607e-10,5.874024741747916,True
internal_component_repair,f1_at_7,paired_difference,hybrid_minus_topsis,candidate=oracle_gt_hidden30__bonus=0.20__reward=component_continuous_fix,0.6834285714285713,0.06500953058633321,0.6657142857142857,0.7011428571428572,50,50,0,0,74.33632775920572,4.824843208303059e-52,0.0,7.341030425828556e-10,10.512744289408031,True
internal_component_repair,ndcg_at_7,method,hybrid,candidate=oracle_gt_hidden30__bonus=0.20__reward=component_continuous_fix,0.9602171189462168,0.027788225786632155,0.9523442772741698,0.9676360507256654,50,,,,,,,,,
internal_component_repair,ndcg_at_7,method,rl_only,candidate=oracle_gt_hidden30__bonus=0.20__reward=component_continuous_fix,0.6408470663920256,0.06083813222407097,0.6244132246023414,0.6576273233973059,50,,,,,,,,,
internal_component_repair,ndcg_at_7,method,topsis_only,candidate=oracle_gt_hidden30__bonus=0.20__reward=component_continuous_fix,0.27385693831131375,0.07150961571664347,0.2541429394256463,0.29369934824458754,50,,,,,,,,,
internal_component_repair,ndcg_at_7,paired_difference,hybrid_minus_rl,candidate=oracle_gt_hidden30__bonus=0.20__reward=component_continuous_fix,0.31937005255419104,0.05839108433406769,0.3037241280911121,0.3355839163072201,50,50,0,0,38.675207430120466,2.2078829894131768e-38,0.0,1.7763568394002505e-15,5.469500287526905,True
internal_component_repair,ndcg_at_7,paired_difference,hybrid_minus_topsis,candidate=oracle_gt_hidden30__bonus=0.20__reward=component_continuous_fix,0.6863601806349028,0.07366389174468543,0.6661587661937061,0.7062691464926701,50,50,0,0,65.88437381851715,1.6865345971794794e-49,0.0,1.7763568394002505e-15,9.31745750026058,True
exact_r0_reproduction,f1_at_7,method,hybrid,candidate=oracle_gt_hidden30__bonus=0.20__reward=implemented_r0,0.9005714285714284,0.04009152378059976,0.8897142857142855,0.9114285714285714,50,,,,,,,,,
exact_r0_reproduction,f1_at_7,method,rl_only,candidate=oracle_gt_hidden30__bonus=0.20__reward=implemented_r0,0.5742857142857143,0.06536986684917132,0.5565714285714285,0.5920000000000001,50,,,,,,,,,
exact_r0_reproduction,f1_at_7,method,topsis_only,candidate=oracle_gt_hidden30__bonus=0.20__reward=implemented_r0,0.2594285714285714,0.06292601580604658,0.24171428571428574,0.276,50,,,,,,,,,
exact_r0_reproduction,f1_at_7,paired_difference,hybrid_minus_rl,candidate=oracle_gt_hidden30__bonus=0.20__reward=implemented_r0,0.32628571428571435,0.06378065285388121,0.30914285714285716,0.344,50,50,0,0,36.173797358940824,5.243568304568082e-37,0.0,7.109631663154212e-10,5.115747482755016,True
exact_r0_reproduction,f1_at_7,paired_difference,hybrid_minus_topsis,candidate=oracle_gt_hidden30__bonus=0.20__reward=implemented_r0,0.6411428571428571,0.06431907135866843,0.6234285714285716,0.6588571428571428,50,50,0,0,70.48554222229646,6.384813268795918e-51,0.0,7.166451133313685e-10,9.968160976199306,True
exact_r0_reproduction,ndcg_at_7,method,hybrid,candidate=oracle_gt_hidden30__bonus=0.20__reward=implemented_r0,0.9270324396019215,0.028710724117994538,0.9191239126370482,0.934900320129897,50,,,,,,,,,
exact_r0_reproduction,ndcg_at_7,method,rl_only,candidate=oracle_gt_hidden30__bonus=0.20__reward=implemented_r0,0.631465967387745,0.05932246833790121,0.614988184881333,0.6476300063356926,50,,,,,,,,,
exact_r0_reproduction,ndcg_at_7,method,topsis_only,candidate=oracle_gt_hidden30__bonus=0.20__reward=implemented_r0,0.27385693831131375,0.07150961571664347,0.25413179873467057,0.2931700279036456,50,,,,,,,,,
exact_r0_reproduction,ndcg_at_7,paired_difference,hybrid_minus_rl,candidate=oracle_gt_hidden30__bonus=0.20__reward=implemented_r0,0.2955664722141765,0.05577061031997973,0.2802518104155158,0.3112109329858991,50,50,0,0,37.4744073258163,9.854817168429577e-38,0.0,1.7763568394002505e-15,5.299681508206309,True
exact_r0_reproduction,ndcg_at_7,paired_difference,hybrid_minus_topsis,candidate=oracle_gt_hidden30__bonus=0.20__reward=implemented_r0,0.6531755012906078,0.0696124745889228,0.63411930426621,0.6723561219912637,50,50,0,0,66.34799710754805,1.2005844279928683e-49,0.0,7.555220876380673e-10,9.383023734578535,True
